SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,T,HUMRAT_TEUNA
4,0,0,0,0,4,0,1440,0,51,4,21,4,5,5,8,0,2,5,1,3,3,1,1,6,2,9,0,0,9,4,11,411,99,99,1,190775,689685,1,2
1,70,386,392,10010001,0,0,0,0,38,3,75,4,5,2,1,0,3,1,1,2,5,9,9,9,9,9,3,3,2,6,61,613,0,13,1,165504,631634,0,2
4,0,0,0,0,9,0,120,0,12,6,81,2,5,7,3,0,3,5,1,3,3,1,1,9,9,9,0,0,9,3,24,324,99,99,1,200523,702244,1,1
2,4000,512,0,0,0,0,0,0,11,6,88,4,5,2,7,1,0,1,1,2,3,1,1,9,9,9,0,0,9,3,31,311,0,13,1,197701,748246,1,1
4,0,0,0,0,1,0,300,0,61,2,93,4,5,1,3,1,0,5,1,3,4,1,1,9,9,9,0,0,9,4,31,431,99,99,1,197324,641629,1,2
2,2650,238,0,0,0,0,0,0,20,3,77,4,5,7,2,3,0,1,1,2,3,1,1,9,9,9,0,0,9,5,51,511,0,16,3,184369,671282,1,2
4,0,0,0,0,444,0,360,0,51,1,81,4,5,4,8,0,2,5,1,3,3,2,2,2,2,9,0,0,9,4,41,412,99,99,1,198405,681029,1,2
2,3000,4277,0,0,0,0,0,0,61,1,79,4,5,1,1,3,0,1,1,1,3,1,1,9,9,9,4,3,9,1,11,111,0,12,3,221336,634187,1,2
4,0,0,0,0,44,0,280,0,52,8,94,4,5,5,3,0,2,5,1,4,3,1,1,9,9,9,0,0,9,4,43,432,99,99,1,186393,651405,1,2
4,0,0,0,0,65,0,260,0,12,5,7,4,5,3,8,0,2,5,1,4,3,1,1,6,2,9,0,0,9,3,32,323,99,99,1,212755,714371,0,2
1,6200,201,221,7670023,0,0,0,0,20,3,77,4,5,5,2,0,2,1,1,3,3,2,2,9,9,9,0,0,9,5,51,513,0,14,1,176086,658928,1,2
2,3000,1346,0,0,0,0,0,0,61,3,74,4,5,3,15,2,0,1,1,3,3,2,2,9,9,9,0,0,9,1,11,111,0,12,3,217222,628149,1,2
2,481,0,0,0,0,0,0,0,12,11,78,4,5,3,8,3,0,1,2,1,1,1,1,8,5,9,0,0,9,2,22,222,99,26,2,238897,754717,0,0
4,0,0,0,0,8655,0,50,0,12,8,4,4,5,4,5,2,0,2,1,3,3,1,1,9,9,9,0,0,9,2,24,243,99,99,1,229291,763896,1,1
1,4000,235,180,330122,0,0,0,0,11,5,80,4,5,5,2,1,0,1,1,3,3,1,1,9,9,9,0,0,9,3,31,311,0,13,1,207375,747423,0,2
3,0,0,0,0,90,6678,3753,1591,14,4,93,3,5,1,5,3,0,4,1,5,3,5,1,9,9,9,0,0,9,2,31,231,99,99,1,247088,709358,1,1
3,0,0,0,0,40,4623,2859,761,51,3,81,4,5,4,4,3,0,4,1,2,3,1,2,9,9,9,0,0,9,4,42,422,99,99,1,191217,661621,1,2
2,1326,0,0,0,0,0,0,0,12,4,95,3,5,1,7,3,0,1,3,3,3,1,2,9,9,9,0,0,9,3,32,323,99,28,2,210077,715145,1,2
2,3000,4416,0,0,0,0,0,0,61,1,74,4,5,3,3,1,0,3,1,2,3,2,2,9,9,9,0,0,9,1,11,111,0,12,3,219348,626606,1,2
2,2500,188,0,0,0,0,0,0,11,1,94,4,5,4,11,0,2,1,1,2,3,2,2,9,9,9,0,0,9,3,31,311,0,16,3,204331,741984,1,1
2,538,0,0,0,0,0,0,0,12,5,92,4,5,2,1,3,0,1,0,1,3,1,1,9,9,9,0,0,9,2,24,241,99,28,2,222631,754978,1,1
1,1031,121,122,250003,0,0,0,0,38,7,92,4,5,5,4,3,0,1,1,3,2,1,1,9,9,9,0,0,9,6,61,614,0,16,1,160733,604823,1,2
4,0,0,0,0,431,0,250,0,52,10,94,1,5,2,8,0,2,7,1,5,3,1,1,6,9,9,0,0,9,4,43,432,99,99,1,190412,646454,1,2
4,0,0,0,0,805,0,110,0,12,2,76,4,5,2,2,3,0,4,1,4,3,1,1,9,9,9,0,0,9,2,24,241,99,99,1,226826,752280,1,2
4,0,0,0,0,85,0,40,0,12,5,5,4,5,6,8,3,0,5,1,4,3,1,1,6,4,9,0,0,9,2,24,246,99,99,1,211859,757900,1,2
4,0,0,0,0,5614,0,40,0,51,1,74,4,5,3,2,3,0,1,1,3,3,1,1,9,9,9,0,0,9,4,41,412,99,99,1,199681,687725,1,2
1,53,121,122,80001,0,0,0,0,11,4,81,4,5,2,1,1,0,1,1,1,1,1,1,9,9,9,3,3,2,3,32,321,15,18,1,195160,733069,1,2
2,4000,509,0,0,0,0,0,0,11,3,73,4,5,3,1,3,0,1,1,2,3,1,1,9,9,9,4,3,9,3,31,311,0,13,3,198347,748024,1,2
4,0,0,0,0,672,0,350,0,11,4,85,2,5,5,3,3,0,1,1,3,3,1,1,9,9,9,0,0,9,3,31,311,99,99,1,206594,734982,1,2
2,4000,1300,0,0,0,0,0,0,11,9,8,4,5,7,11,1,0,3,1,3,3,1,1,9,9,9,0,0,9,3,31,311,0,13,3,200673,744040,1,2
4,0,0,0,0,1,0,480,0,61,8,17,4,5,7,3,1,0,5,1,3,3,1,1,9,9,9,0,0,9,1,11,111,99,99,1,210858,634148,1,2
2,3000,923,0,0,0,0,0,0,61,3,71,4,5,1,12,3,0,1,1,2,3,1,1,9,9,9,0,0,9,1,11,111,0,12,3,219123,633301,1,2
2,246,101,0,0,0,0,0,0,34,2,82,4,5,2,1,3,0,1,1,3,3,1,1,9,9,9,2,2,1,6,62,621,0,16,3,161495,592911,1,2
4,0,0,0,0,6,0,1770,0,12,2,72,4,5,2,4,0,2,8,1,5,3,1,1,9,9,9,0,0,9,3,32,324,99,99,1,202238,702126,1,2
2,654,0,0,0,0,0,0,0,12,4,79,3,5,3,2,3,0,1,1,4,1,1,1,9,9,9,0,0,9,3,32,323,99,27,2,205073,712383,1,2
4,0,0,0,0,2,0,440,0,51,7,91,4,5,5,3,0,2,5,1,4,3,1,1,9,9,9,0,0,9,4,41,411,99,99,1,187809,692638,1,2
4,0,0,0,0,89,0,180,0,12,2,93,4,5,7,3,1,0,4,1,2,3,1,1,6,2,9,0,0,9,2,24,243,99,99,1,226337,768715,1,2
2,3000,0,0,0,0,0,0,0,61,11,91,4,5,1,5,3,0,1,1,2,3,1,1,9,9,9,0,0,9,1,11,111,0,12,2,220936,632247,1,2
2,1061,158,0,0,0,0,0,0,14,12,15,4,5,7,8,2,0,3,1,4,3,1,1,2,9,9,0,0,9,2,23,237,0,16,3,229640,734811,1,1
2,8800,0,0,0,0,0,0,0,12,10,75,4,5,2,1,1,0,1,1,2,3,1,1,9,9,9,3,3,2,2,24,241,0,26,2,216414,745705,1,2
4,0,0,0,0,65,0,810,0,12,3,95,4,5,4,10,0,2,5,1,4,3,1,1,9,9,9,0,0,9,2,22,222,99,99,1,241056,750605,1,1
2,70,213,0,0,0,0,0,0,38,6,88,4,5,5,7,1,0,1,1,2,5,1,1,9,9,9,0,0,9,6,61,613,0,13,3,167501,634796,1,2
4,0,0,0,0,20,0,120,0,20,10,75,4,5,4,4,0,3,5,1,0,3,1,1,9,9,9,0,0,9,5,51,511,99,99,1,179311,660713,1,2
1,2500,257,173,15410001,0,0,0,0,11,9,79,1,5,2,10,3,0,1,1,3,3,1,1,6,1,9,0,0,9,3,31,311,0,16,1,203509,742988,1,2
2,8900,0,0,0,0,0,0,0,12,10,89,1,5,2,1,3,0,1,1,5,3,1,1,9,9,9,3,3,1,2,24,241,0,26,2,218122,751055,0,0
2,483,0,0,0,0,0,0,0,12,1,89,4,5,3,3,3,0,1,1,3,3,1,1,9,9,9,0,0,9,2,24,242,99,28,2,225898,759346,1,2
2,7700,338,0,0,0,0,0,0,14,2,94,4,5,3,10,0,2,5,1,3,3,1,1,9,9,9,0,0,9,2,23,234,0,16,3,225009,722877,0,2
4,0,0,0,0,4,0,1660,0,12,10,1,4,5,5,3,0,2,5,1,3,3,1,1,9,9,9,0,0,9,3,32,324,99,99,1,193159,710974,0,2
1,3000,1362,0,0,0,0,0,0,61,7,88,4,5,4,2,3,0,1,1,3,3,1,1,9,9,9,0,0,9,1,11,111,0,12,3,218798,628640,1,2
4,0,0,0,0,60,0,820,0,61,10,14,3,5,4,2,3,0,2,1,3,3,2,2,9,9,9,0,0,9,7,77,77,99,99,1,216957,624886,1,0
2,4000,605,0,0,0,0,0,0,11,10,74,4,5,1,7,1,0,1,1,1,3,1,1,8,1,9,0,0,9,3,31,311,0,13,3,199462,743109,1,2
2,1292,0,0,0,0,0,0,0,12,3,1,4,5,2,7,3,0,1,1,2,3,1,1,9,9,9,0,0,9,2,24,246,99,26,2,214092,759331,1,2
2,166,126,0,0,0,0,0,0,38,1,77,4,5,3,1,3,0,1,1,3,3,1,1,9,9,9,3,2,2,4,44,441,99,16,3,172297,632553,1,1
4,0,0,0,0,65,0,170,0,12,8,83,4,5,4,3,0,2,5,1,2,3,1,1,9,9,9,0,0,9,3,24,324,99,99,1,205087,710639,1,2
4,0,0,0,0,412,0,130,0,52,1,71,4,5,6,1,3,0,4,1,2,3,1,1,9,9,9,1,2,1,4,44,442,99,99,1,182492,655525,0,1
2,5000,1983,0,0,0,0,0,0,20,6,11,4,5,5,1,3,0,1,1,2,3,1,1,9,9,9,3,3,9,5,51,511,0,13,1,176791,661201,1,2
2,9500,126,0,0,0,0,0,0,11,11,17,4,5,7,3,3,0,1,1,3,3,1,1,9,9,9,0,0,9,3,31,311,0,16,1,207965,748445,1,2
3,0,0,0,0,2,5,219,57,20,1,24,4,5,5,4,3,0,1,1,3,3,1,1,9,9,9,0,0,9,5,51,511,99,99,1,181423,672011,1,2
2,7500,0,0,0,0,0,0,0,12,1,75,4,5,5,2,3,0,1,1,2,3,1,1,9,9,9,0,0,9,2,24,241,0,26,2,228322,752210,1,2
2,543,0,0,0,0,0,0,0,12,9,77,4,5,6,13,3,0,1,1,2,3,1,1,9,9,9,0,0,9,2,24,242,99,28,2,234661,760412,1,1
2,7400,649,0,0,0,0,0,0,51,1,70,4,5,3,1,0,3,1,1,3,3,2,2,9,9,9,3,3,1,4,41,411,0,13,3,186222,688598,1,2
4,0,0,0,0,672,0,270,0,11,10,96,2,5,1,10,2,0,3,1,3,3,1,1,9,9,9,0,0,9,3,11,311,99,99,1,205362,729860,0,2
4,0,0,0,0,92,0,180,0,12,7,1,4,5,1,2,3,0,4,1,2,3,1,1,9,9,9,0,0,9,2,93,293,99,99,1,261261,749314,1,2
4,0,0,0,0,2,0,440,0,51,7,93,4,5,6,3,0,2,5,1,3,3,1,1,9,9,9,0,0,9,4,41,411,99,99,1,187809,692638,1,2
1,6200,220,237,30021,0,0,0,0,20,8,89,4,5,5,1,0,2,1,3,1,1,1,5,9,9,9,4,3,9,5,51,513,0,14,1,176203,659399,1,2
2,3000,3026,0,0,0,0,0,0,61,8,95,4,5,5,13,3,0,1,1,3,3,1,1,9,9,9,0,0,9,1,11,111,0,12,1,220856,634293,1,1
2,858,0,0,0,0,0,0,0,51,2,77,4,5,4,2,3,0,5,1,3,3,1,1,9,9,9,0,0,9,4,42,421,20,31,2,193045,671086,1,2
2,8500,303,0,0,0,0,0,0,52,9,77,4,5,5,1,3,0,1,0,3,3,1,1,9,9,9,0,0,9,4,43,432,0,15,3,187440,648571,1,2
2,638,0,0,0,0,0,0,0,51,12,74,4,5,1,2,3,0,0,1,3,1,1,9,9,9,9,0,0,9,4,41,412,0,26,2,198047,688325,1,1
4,0,0,0,0,436,0,100,0,61,10,95,2,5,3,8,0,2,3,1,3,3,1,1,6,2,9,0,0,9,7,77,77,99,99,1,216474,640333,1,2
2,480,0,0,0,0,0,0,0,12,8,95,4,5,1,5,3,0,1,0,2,2,1,1,9,9,9,0,0,9,2,24,243,99,27,2,235712,763260,1,2
2,473,0,0,0,0,0,0,0,12,1,71,4,5,7,1,3,0,1,1,3,3,1,1,9,9,6,8,0,9,2,24,245,99,27,2,216069,762901,1,2
2,481,9000,0,0,0,0,0,0,12,6,95,4,5,5,3,0,2,1,1,3,3,1,1,9,9,9,0,0,9,2,22,222,99,26,2,238897,754717,1,2
2,7100,740,0,0,0,0,0,0,38,11,71,4,5,4,2,0,3,3,1,4,3,1,1,9,9,9,0,0,9,6,61,614,0,14,3,157625,615733,0,2
4,0,0,0,0,5614,0,10,0,51,10,88,4,5,1,8,0,2,4,2,2,3,1,1,6,2,9,0,0,9,4,41,412,99,99,1,198533,689936,1,1
4,0,0,0,0,65,0,70,0,12,1,70,4,5,4,3,0,3,5,1,3,3,9,1,9,9,9,0,0,9,3,24,324,99,99,1,196414,706060,1,1
2,7400,835,0,0,0,0,0,0,51,7,3,4,5,4,1,3,0,1,1,2,3,1,1,9,9,4,8,0,9,4,41,411,0,13,1,189051,690486,1,2
1,70,622,165,8850326,0,0,0,0,38,5,3,4,5,7,1,1,0,1,1,2,3,1,1,9,9,9,3,3,2,6,61,613,0,13,1,165798,631298,0,2
2,7800,113,0,0,0,0,0,0,12,9,88,4,5,5,3,2,0,1,1,3,3,1,1,9,9,9,0,0,9,3,32,324,99,16,1,197651,708981,1,2
4,0,0,0,0,4,0,2000,0,11,3,86,4,5,1,3,0,2,3,1,3,3,1,1,9,9,9,0,0,9,3,31,311,99,99,1,196759,744188,1,2
4,0,0,0,0,20,0,260,0,20,6,84,4,5,7,3,1,0,1,1,3,3,1,1,9,9,9,0,0,9,5,51,511,99,99,1,182753,673916,1,2
1,7000,340,0,0,0,0,0,0,52,2,10,4,5,6,4,3,0,1,1,0,4,1,1,9,9,9,0,0,9,4,43,432,0,15,3,190153,650230,1,2
1,70,189,340,9020052,0,0,0,0,38,8,90,4,5,7,1,0,3,1,1,5,3,1,1,9,9,9,3,1,2,6,61,613,0,13,1,165772,632672,1,0
4,0,0,0,0,461,0,50,0,20,1,1,4,5,5,3,1,0,4,1,3,3,1,2,9,9,9,0,0,9,5,52,512,99,99,1,184801,660455,1,2
4,0,0,0,0,90,0,2090,0,34,7,94,4,5,5,1,2,0,2,0,2,1,1,1,9,9,7,0,0,9,6,62,624,99,99,1,234484,562417,0,1
4,0,0,0,0,2,0,560,0,12,9,96,4,5,3,3,0,2,5,0,3,3,1,1,9,9,9,0,0,9,3,32,324,99,99,1,189527,703276,1,2
2,7900,819,0,0,0,0,0,0,51,2,71,4,5,5,5,0,5,1,1,3,3,9,2,9,9,9,0,0,9,4,42,422,0,13,1,188691,665829,1,1
1,70,180,189,7650004,0,0,0,0,38,3,5,4,5,6,2,0,3,1,1,4,3,2,2,9,9,9,0,0,9,6,61,613,0,13,1,166728,634567,1,2
4,0,0,0,0,85,0,150,0,12,3,87,4,5,1,2,0,2,4,1,4,3,1,1,9,9,9,0,0,9,2,24,242,99,99,1,222464,757971,1,2
4,0,0,0,0,75,0,420,0,11,3,88,4,5,3,10,0,2,5,1,4,3,1,1,1,2,9,0,0,9,3,31,311,99,99,1,207704,739107,1,1
4,0,0,0,0,77,0,580,0,14,3,88,4,5,5,3,0,2,6,1,4,3,1,1,9,9,9,0,0,9,2,25,237,99,99,1,229742,741327,1,2
1,9000,1369,0,0,0,0,0,0,34,11,79,4,5,5,2,0,3,3,1,4,3,1,1,9,9,9,0,0,9,6,62,623,0,13,3,180800,571828,1,2
2,9100,402,0,0,0,0,0,0,12,11,92,4,5,3,8,3,0,1,1,1,3,1,1,9,9,9,0,0,9,2,24,245,0,15,3,208945,767164,1,2
4,0,0,0,0,6,0,1900,0,12,6,85,4,5,5,3,0,2,7,1,4,3,1,1,9,9,9,0,0,9,3,23,323,99,99,1,202763,714340,0,2
2,6900,135,0,0,0,0,0,0,51,7,85,4,5,5,10,1,0,1,1,3,3,1,1,9,9,9,0,0,9,4,42,421,0,14,1,194744,676664,1,2
1,7900,913,916,8660022,0,0,0,0,51,1,70,4,5,1,2,3,0,1,1,2,3,2,2,9,9,9,0,0,9,4,42,422,0,13,1,188372,665772,0,2
4,0,0,0,0,38,0,100,0,61,2,87,4,5,3,2,2,0,4,1,3,1,1,1,9,9,9,0,0,9,1,12,112,99,99,1,194984,621695,0,2
2,9000,353,0,0,0,0,0,0,34,2,81,4,5,5,4,3,0,1,0,2,3,1,1,9,9,9,0,0,9,6,62,623,0,13,3,178599,574552,1,2
1,7400,609,0,0,0,0,0,0,51,1,87,4,5,5,1,0,3,1,1,3,3,1,1,9,9,9,1,4,2,4,41,411,0,13,3,186438,689610,1,2
2,1066,0,0,0,0,0,0,0,38,11,76,4,5,7,2,2,0,4,1,4,4,1,1,9,9,9,0,0,9,4,44,441,99,18,2,177452,633077,1,2
2,7300,0,0,0,0,0,0,0,14,2,85,4,5,6,5,1,0,1,1,1,3,5,1,9,9,9,0,0,9,2,23,237,0,25,2,227920,734144,1,2
4,0,0,0,0,89,0,250,0,12,1,75,4,5,2,3,3,0,4,1,3,3,2,2,9,9,9,0,0,9,2,44,244,99,99,1,230774,769768,1,2
1,4000,811,386,10820231,0,0,0,0,11,1,77,4,5,1,5,3,0,1,1,2,3,9,2,9,9,9,0,0,9,3,31,311,0,13,1,199681,747052,1,2
2,3000,4565,0,0,0,0,0,0,61,3,96,4,5,7,15,3,0,1,1,1,3,1,1,9,9,9,0,0,9,1,11,111,0,12,3,217380,626757,1,2
1,70,302,165,7920011,0,0,0,0,38,1,93,4,5,4,1,0,3,1,1,2,4,2,2,9,9,9,3,3,1,6,61,613,0,13,1,166921,633332,1,2
1,8300,925,0,0,0,0,0,0,52,1,75,4,5,3,4,1,0,5,1,3,3,1,1,9,9,9,0,0,9,4,44,442,0,13,3,179194,654164,1,1
2,6000,0,0,0,0,0,0,0,12,1,19,4,5,4,2,0,3,1,1,2,3,2,2,9,9,9,0,0,9,3,32,324,0,26,2,204157,702852,1,2
2,6000,0,0,0,0,0,0,0,12,5,86,4,5,3,5,3,0,1,0,2,3,1,1,9,9,9,0,0,9,3,32,324,0,26,2,204157,702852,1,2
4,0,0,0,0,22,0,50,0,11,10,76,1,5,3,3,0,5,5,1,4,3,1,1,9,9,9,0,0,9,3,31,311,99,99,1,205458,745572,1,1
2,2560,220,0,0,0,0,0,0,34,8,82,4,5,2,8,3,0,1,1,3,3,1,1,2,2,9,0,0,9,6,62,623,0,16,3,218590,571925,0,0
2,6500,846,0,0,0,0,0,0,12,10,95,1,5,2,4,3,0,1,1,2,3,1,1,9,9,9,0,0,9,3,32,324,0,15,3,195345,702279,1,1
2,7400,1090,0,0,0,0,0,0,51,12,89,4,5,7,5,3,0,0,1,0,1,1,1,9,9,9,0,0,9,4,41,411,0,13,3,185684,690532,1,2
2,510,0,0,0,0,0,0,0,12,12,79,4,5,7,2,3,0,1,1,0,3,1,1,9,9,9,0,0,9,2,24,241,99,27,2,224714,746160,1,2
2,3000,4129,0,0,0,0,0,0,61,1,72,4,5,7,4,3,0,1,1,2,3,1,1,9,9,9,0,0,9,1,11,111,0,12,1,222519,633289,1,2
4,0,0,0,0,2,0,840,0,12,12,2,4,5,6,4,0,2,6,1,3,3,2,1,9,9,9,0,0,9,3,21,321,99,99,1,194328,729893,0,2
2,473,9000,0,0,0,0,0,0,12,7,85,4,5,1,8,2,0,1,1,2,3,1,1,1,9,9,0,0,9,2,24,245,99,27,2,216069,762901,0,0
2,2610,148,0,0,0,0,0,0,61,3,78,4,5,2,1,0,1,1,1,0,4,1,1,9,9,9,3,2,1,1,11,112,0,14,3,199394,629152,1,1
2,5000,1101,0,0,0,0,0,0,20,1,87,4,5,1,1,1,0,1,1,0,3,2,2,9,9,9,3,3,1,5,51,511,0,13,1,179164,663607,1,2
2,5000,180,0,0,0,0,0,0,20,4,14,4,5,6,8,3,0,3,1,3,3,1,1,1,4,9,0,0,9,5,51,511,0,13,3,181474,667671,1,1
2,5000,265,0,0,0,0,0,0,20,11,78,4,5,4,3,3,0,1,1,3,3,1,1,9,9,9,0,0,9,5,51,511,0,13,3,182138,669645,1,2
4,0,0,0,0,7,0,140,0,52,3,83,4,5,7,8,1,0,4,1,3,3,2,2,8,9,9,0,0,9,4,44,441,99,99,1,179951,633874,1,2
4,0,0,0,0,444,0,190,0,51,1,85,4,5,5,3,3,0,1,1,3,3,1,1,9,9,9,0,0,9,4,42,422,99,99,1,195371,665872,1,2
4,0,0,0,0,85,0,140,0,12,6,83,2,5,7,3,0,2,5,1,5,3,1,1,9,9,9,0,0,9,2,24,242,99,99,1,221662,757810,1,2
